HSS Shapes   ,,,
Designation ,Dead Load (kN/m) ,Area (mm²) ,r (mm) 
HSS 51 X 51 X 6.4,0.079,1030,17.6
HSS 76 X 51 X 6.5,0.104,1350,26.1
HSS 76 X 51 X 8.0,0.155,1600,25.1
HSS 89 X 64 X 8.0,0.155,2010,30.5
HSS 102 X 102 X 6.4,0.178,2320,38.4
HSS 102 X 76 X 8.0,0.186,2410,35.8
HSS 102 X 76 X 9.5,0.215,2790,35
HSS 127 X 64 X 9.5,0.234,3030,41.7
HSS 127 X 76 X 9.5,0.252,3280,43.2
HSS 152 X 102 X 8.0,0.279,3620,54.8
HSS 152 X 102 X 9.5,0.327,4240,54
HSS 152 X 102 X 11,0.373,4840,53.1
HSS 203 X 102 X 9.5,0.401,5210,70.3
HSS 203 X 102 X 11,0.46,5870,69.3
HSS 203 X 102 X 13,0.514,6680,68.4
HSS 203 X 152 X 9.5,0.476,6180,75.1
HSS 203 X 152 X 11,0.547,7100,74.2
HSS 254 X 254 X 8.0,0.59,7660,99.9
HSS 254 X 254 X 9.5,0.699,9090,99.1
HSS 254 X 254 X 13,0.912,11800,97.6
HSS 203 X 152 X 13,0.614,7970,73.4
HSS 254 X 152 X 11,0.634,8230,91
HSS 254 X 152 X 13,0.713,9260,90.1
HSS 305 X 305 X 8.0,0.714,9280,121
HSS 305 X 203 X 9.5,0.699,9090,113
HSS 305 X 203 X 11,0.808,10500,112
HSS 305 X 203 X 13,0.912,11800,111
HSS 305 X 305 X 11,0.982,12800,119
HSS 305 X 305 X 13,1.11,14400,118
